FATALITIES,injuries,lat,lng,ped,bike
0,1,47.61213646,-122.3353731,1,0
0,1,47.66643643,-122.3173874,1,0
0,1,47.49625199,-122.2600944,1,0
0,1,47.68414674,-122.3767833,1,0
0,1,47.66133335,-122.3229563,1,0
0,1,47.53695788,-122.270274,1,0
0,1,47.58369852,-122.3146919,1,0
0,1,47.53704573,-122.2833966,1,0
0,1,47.52617082,-122.2699832,1,0
0,1,47.60003206,-122.3263571,1,0
1,0,47.59602504,-122.3022238,1,0
0,1,47.69602772,-122.3553583,1,0
0,1,47.66789509,-122.3788846,1,0
0,1,47.61027471,-122.3413434,1,0
0,1,47.61027832,-122.3398125,1,0
0,1,47.55196495,-122.2834594,1,0
0,1,47.61859955,-122.3548023,1,0
0,2,47.61207057,-122.3322441,1,0
0,0,47.61411623,-122.3036049,1,0
0,1,47.62052844,-122.3156303,1,0
0,1,47.60378135,-122.3384241,1,0
0,1,47.61021404,-122.3366834,1,0
0,1,47.57931015,-122.3866214,1,0
0,1,47.53705256,-122.2793853,1,0
0,0,47.61160635,-122.3333538,1,0
0,1,47.70505121,-122.3446941,1,0
0,1,47.54397625,-122.3872247,1,0
0,0,47.73285797,-122.2938204,1,0
0,1,47.66852575,-122.300619,1,0
0,1,47.55960794,-122.3046557,1,0
0,1,47.57394303,-122.2947874,1,0
0,1,47.66126567,-122.3125635,1,0
0,2,47.54158539,-122.2721868,1,0
0,0,,,1,0
0,1,47.6102668,-122.3229178,1,0
0,0,47.62327152,-122.3554146,1,0
0,2,47.60469505,-122.3362384,1,0
0,1,47.61860207,-122.3554531,1,0
0,1,47.7091738,-122.3178617,1,0
0,1,47.60719721,-122.3231822,1,0
0,1,47.56409504,-122.2881859,1,0
0,1,47.60469505,-122.3362384,1,0
0,1,47.60928514,-122.3389037,1,0
0,1,47.61990775,-122.3208729,1,0
0,2,47.60980237,-122.3240287,1,0
0,1,47.55960794,-122.3046557,1,0
0,1,47.61108616,-122.3221346,1,0
0,1,47.61990775,-122.3208729,1,0
0,1,47.66063762,-122.3661738,1,0
0,1,47.59507918,-122.30011,1,0
0,0,47.70027141,-122.3033182,1,0
0,1,47.68777093,-122.3832601,1,0
0,1,47.60885599,-122.3239335,1,0
0,1,47.66138088,-122.3325487,1,0
0,1,47.66789135,-122.3762157,1,0
0,1,47.62454416,-122.3397406,1,0
0,1,47.65894425,-122.3647161,1,0
0,1,47.66866691,-122.3762145,1,0
1,1,47.73395173,-122.3127486,1,0
0,1,47.61260044,-122.3342624,1,0
0,1,,,1,0
0,1,47.62198807,-122.3209062,1,0
1,0,47.5210301,-122.3679296,1,0
0,1,47.71928489,-122.296314,1,0
0,0,47.61349798,-122.3417643,1,0
0,2,47.62455236,-122.3384354,1,0
0,1,47.69063291,-122.361982,1,0
0,1,47.64846829,-122.3761087,1,0
0,1,47.56480559,-122.3003319,1,0
0,1,47.58633028,-122.3042394,1,0
0,1,47.60829217,-122.3379954,1,0
0,1,47.65684819,-122.3144022,1,0
0,1,47.70058269,-122.3620585,1,0
0,1,47.63955679,-122.3996308,1,0
0,1,47.67497937,-122.3173632,1,0
0,1,47.63599561,-122.3424076,1,0
0,1,47.61430709,-122.3500723,1,0
0,1,47.62457552,-122.3540985,1,0
0,1,47.60084904,-122.3141311,1,0
0,0,47.64143366,-122.3568999,1,0
0,1,47.61316683,-122.3421927,1,0
0,1,47.57541958,-122.2959096,1,0
0,1,47.53702877,-122.2853874,1,0
0,1,47.72685956,-122.345017,1,0
0,1,47.58629863,-122.3213927,1,0
0,1,47.53502694,-122.3550221,1,0
0,1,47.72321838,-122.3481953,1,0
0,1,47.68561245,-122.3367654,1,0
0,1,47.68213878,-122.2904532,1,0
0,1,47.61876845,-122.3169099,1,0
0,0,47.61990775,-122.3208729,1,0
0,1,47.64847282,-122.3767594,1,0
0,0,47.60782816,-122.3391053,1,0
0,1,47.60369752,-122.329187,1,0
0,1,47.60537425,-122.3322566,1,0
0,1,47.61523842,-122.3279038,1,0
0,1,47.71231922,-122.3448137,1,0
0,1,47.72916822,-122.2937008,1,0
0,1,47.6486571,-122.3552447,1,0
0,1,47.61849674,-122.3278535,1,0
0,1,47.65051917,-122.3220945,1,0
0,1,47.60394844,-122.3309521,1,0
0,1,47.61040368,-122.3434718,1,0
0,1,47.62714223,-122.3259602,1,0
0,1,47.63953008,-122.3020806,1,0
0,1,47.70105497,-122.3633924,1,0
0,1,47.65157827,-122.3212753,1,0
0,1,47.62579704,-122.325321,1,0
0,1,47.67979894,-122.3245398,1,0
0,1,47.61359553,-122.3351727,1,0
0,1,47.61522341,-122.3337927,1,0
0,1,47.60171758,-122.3311262,1,0
0,1,47.61990775,-122.3208729,1,0
0,1,47.58293662,-122.3290546,1,0
0,1,47.64225512,-122.3469433,1,0
0,4,47.60726631,-122.3324513,1,0
0,1,47.61253537,-122.3311339,1,0
0,1,47.64639608,-122.3046141,1,0
0,1,47.61976357,-122.3541379,1,0
0,1,47.59920483,-122.334188,1,0
0,1,47.54608599,-122.2879609,1,0
0,1,47.67577422,-122.3006515,1,0
0,1,47.62204124,-122.3384557,1,0
0,1,47.66866691,-122.3762145,1,0
0,1,47.61976813,-122.3554434,1,0
0,1,47.58118763,-122.3872007,1,0
1,0,47.59646867,-122.3341923,1,0
0,1,47.6129174,-122.3141674,1,0
0,1,47.60171616,-122.3302648,1,0
0,1,47.59751516,-122.3263671,1,0
0,1,47.60587262,-122.3357817,1,0
0,1,47.61335421,-122.3155179,1,0
0,1,47.52647722,-122.3268949,1,0
0,1,47.58504268,-122.3341983,1,0
