fatal,collisions,location,lat,long,injury_sum,bike,,,,,,,,,,,,,,,,,,,,,
0,17,Fifth Ave. and Spring St.,47.60726631,-122.3324513,20,0,,,,,,,,,,,,,,,,,,,,,
0,15,Fifth Ave. and Pike St.,47.6106779,-122.335574,18,0,,,,,,,,,,,,,,,,,,,,,
0,18,Third Ave. and Pike St.,47.60974973,-122.3377929,15,0,,,,,,,,,,,,,,,,,,,,,
0,15,Broadway E. and E. Olive Way,47.61990775,-122.3208729,14,0,,,,,,,,,,,,,,,,,,,,,
0,14,12th Ave. and E. Madison St.,47.61288924,-122.3167334,14,0,,,,,,,,,,,,,,,,,,,,,
0,13,Boren Ave. and Pike St.,47.61346582,-122.3289131,13,0,,,,,,,,,,,,,,,,,,,,,
0,8,University Way NE and NE 50th St.,47.66490072,-122.3130742,12,0,,,,,,,,,,,,,,,,,,,,,
0,12,Roosevelt Way NE and NE 45th St.,47.66129874,-122.3176382,12,0,,,,,,,,,,,,,,,,,,,,,
0,12,Denny Way and Stewart St.,47.61849176,-122.330723,12,0,,,,,,,,,,,,,,,,,,,,,
1,13,5th Ave. S. And S. Jackson St.,47.59919492,-122.327667,10,0,,,,,,,,,,,,,,,,,,,,,
0,15,Eastlake Ave. E. and Fuhrman Ave. E.,47.65157827,-122.3212753,14,1,,,,,,,,,,,,,,,,,,,,,
0,13,Troll Ave. N. and N. 34th St.,47.64924012,-122.3474187,12,1,,,,,,,,,,,,,,,,,,,,,
0,14,Melrose Ave. and Pine St.,47.61523842,-122.3279038,12,1,,,,,,,,,,,,,,,,,,,,,
0,12,Boylston Ave. and E. Pine St.,47.61523114,-122.3234155,12,1,,,,,,,,,,,,,,,,,,,,,
0,11,2nd Ave. between Union St and Pike St,47.60878749,-122.3384485,12,1,,,,,,,,,,,,,,,,,,,,,
1,14,2nd Ave. and University St.,47.60729906,-122.3370868,12,1,,,,,,,,,,,,,,,,,,,,,
0,12,15th Ave. NE and NE Pacific St.,47.65297596,-122.3124641,12,1,,,,,,,,,,,,,,,,,,,,,
0,12,NE 45th St. between 1st Ave NE and 2nd Ave. NE,47.66135728,-122.3277575,10,1,,,,,,,,,,,,,,,,,,,,,
0,9,Dexter Ave. N. between Ward St. and Prospect St.,47.62844572,-122.342315,10,1,,,,,,,,,,,,,,,,,,,,,
0,11,2nd Ave. between University St. and Union St.,47.60779445,-122.33754,10,1,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
